Index;Route_Instance;Supernet;Subnet;ASN;AS_Path;Destination_Interface;Local;Router
157;inet.0;207.23.0.0/16;207.23.255.208/30;271;271;lt-1/1/0.70;No;cr1.mgmt.kmlp8
158;inet.0;207.23.0.0/16;207.23.255.210/32;271;271;lt-1/1/0.70;Yes;cr1.mgmt.kmlp8
159;inet.0;207.23.0.0/16;207.23.255.216/31;271;271;lt-0/1/0.202;No;cr1.mgmt.kmlp8
160;inet.0;207.23.0.0/16;207.23.255.216/32;271;271;lt-0/1/0.202;Yes;cr1.mgmt.kmlp8
161;inet.0;207.23.0.0/16;207.23.255.220/30;271;271;ae0.222;No;cr1.mgmt.kmlp8
162;inet.0;207.23.0.0/16;207.23.255.221/32;271;271;ae0.222;Yes;cr1.mgmt.kmlp8
163;inet.0;207.23.0.0/16;207.23.255.228/30;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
164;inet.0;207.23.0.0/16;207.23.255.252/32;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
165;inet.2;207.23.0.0/16;207.23.92.0/23;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
166;inet.2;207.23.0.0/16;207.23.255.16/29;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
167;inet.2;207.23.0.0/16;207.23.255.28/31;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
168;inet.2;207.23.0.0/16;207.23.255.28/32;271;271;lt-0/1/0.40;Yes;cr1.mgmt.kmlp8
169;inet.2;207.23.0.0/16;207.23.255.30/31;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
170;inet.2;207.23.0.0/16;207.23.255.64/26;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
171;inet.2;207.23.0.0/16;207.23.255.130/31;271;271;lt-1/0/0.60;No;cr1.mgmt.kmlp8
172;inet.2;207.23.0.0/16;207.23.255.130/32;271;271;lt-1/0/0.60;Yes;cr1.mgmt.kmlp8
173;inet.2;207.23.0.0/16;207.23.255.138/31;271;271;lt-1/0/0.66;No;cr1.mgmt.kmlp8
174;inet.2;207.23.0.0/16;207.23.255.138/32;271;271;lt-1/0/0.66;Yes;cr1.mgmt.kmlp8
175;inet.2;207.23.0.0/16;207.23.255.140/30;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
176;inet.2;207.23.0.0/16;207.23.255.144/30;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
177;inet.2;207.23.0.0/16;207.23.255.148/30;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
178;inet.2;207.23.0.0/16;207.23.255.208/30;271;271;lt-1/1/0.70;No;cr1.mgmt.kmlp8
179;inet.2;207.23.0.0/16;207.23.255.210/32;271;271;lt-1/1/0.70;Yes;cr1.mgmt.kmlp8
180;inet.2;207.23.0.0/16;207.23.255.216/31;271;271;lt-0/1/0.202;No;cr1.mgmt.kmlp8
181;inet.2;207.23.0.0/16;207.23.255.216/32;271;271;lt-0/1/0.202;Yes;cr1.mgmt.kmlp8
182;inet.2;207.23.0.0/16;207.23.255.220/30;271;271;ae0.222;No;cr1.mgmt.kmlp8
183;inet.2;207.23.0.0/16;207.23.255.221/32;271;271;ae0.222;Yes;cr1.mgmt.kmlp8
184;inet.2;207.23.0.0/16;207.23.255.228/30;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
185;inet.2;207.23.0.0/16;207.23.255.252/32;271;271;lt-0/1/0.40;No;cr1.mgmt.kmlp8
186;MONITOR.inet.0;207.23.0.0/16;207.23.255.160/29;271;271;ae3.3005;No;cr1.mgmt.kmlp8
187;MONITOR.inet.0;207.23.0.0/16;207.23.255.168/30;271;271;ae3.3005;No;cr1.mgmt.kmlp8
188;MONITOR.inet.0;207.23.0.0/16;207.23.255.170/32;271;271;ae3.3005;Yes;cr1.mgmt.kmlp8
189;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.8.0/21;271;271;lt-1/1/0.72;No;cr1.mgmt.kmlp8
190;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.88.0/23;271;271;lt-1/1/0.72;No;cr1.mgmt.kmlp8
191;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.92.0/23;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
